Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Answer,Page Title,Order,Version
Are your book fairs in-person?,are-your-book-fairs-in-person,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70092,false,false,Thu Feb 29 2024 00:07:42 GMT+0000 (Coordinated Universal Time),Wed Mar 12 2025 00:49:31 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p>Yes! We are thrilled to offer a full-service, in-person book fair experience that will captivate the hearts and minds of children, parents, and teachers alike.</p>",Home,5,Public
"But you will have Catholic books, right?",but-you-will-have-catholic-books-right,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700fd,false,false,Thu Feb 29 2024 00:40:15 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 12:47:47 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 13:08:36 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes! For our <strong id="""">Catholic schools</strong>, we include a carefully curated selection of Catholic books—stories about the saints, Bible stories, and books that explain the faith in an engaging and age-appropriate way. Many of these titles are co-published by <em id="""">Magnificat</em> and <em id="""">Ignatius Press</em>, including beloved books by Tomie dePaola. We also feature titles from respected Catholic publishers including the Augustine Institute and Bethlehem Books among many others. </p><p id="""">For schools that request a <strong id="""">nonreligious selection</strong>—such as <strong id="""">public charter schools</strong>—we tailor the collection accordingly. No matter the school setting, all books are chosen to be wholesome, enriching, and aligned with the needs of the communities we serve. </p>",FAQs Literature Logistics,,Catholic
Can I see the list of books that is sent to the Ignatius Book Fairs?,can-i-see-the-list-of-books-that-is-sent-to-the-ignatius-book-fairs,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700fe,false,false,Thu Feb 29 2024 00:40:38 GMT+0000 (Coordinated Universal Time),Sat Sep 27 2025 16:44:06 GMT+0000 (Coordinated Universal Time),Sat Sep 27 2025 16:44:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Our full book fair list is proprietary, but we’re happy to share a customized preview with schools and organizations after learning more about your goals and needs. In the meantime, you're welcome to browse our <a href=""https://word-edit.officeapps.live.com/we/wordeditorframe.aspx?ui=en-US&rs=en-US&wopisrc=https%3A%2F%2Fmyavemaria-my.sharepoint.com%2Fpersonal%2Fkimberly_neumaier_avemaria_edu%2F_vti_bin%2Fwopi.ashx%2Ffiles%2Fbd0bdb68ed7f4626ab5336318f654318&wdenableroaming=1&mscc=1&wdodb=1&hid=8E09CB1E-2AE6-4AFE-B426-FAC69B77E301.0&uih=sharepointcom&wdlcid=en-US&jsapi=1&jsapiver=v2&corrid=d1f50081-7ce2-2e86-814b-25563d819fa5&usid=d1f50081-7ce2-2e86-814b-25563d819fa5&newsession=1&sftc=1&uihit=docaspx&muv=1&ats=PairwiseBroker&cac=1&sams=1&mtf=1&sfp=1&sdp=1&hch=1&hwfh=1&dchat=1&sc=%7B%22pmo%22%3A%22https%3A%2F%2Fmyavemaria-my.sharepoint.com%22%2C%22pmshare%22%3Atrue%7D&ctp=LeastProtected&rct=Normal&wdorigin=Sharing.ServerTransfer&afdflight=63&csiro=1&instantedit=1&wopicomplete=1&wdredirectionreason=Unified_SingleFlush"" target=""_blank"" id="""">online store</a> to get a sense of our high-quality, mission-aligned titles. </p><p id="""">Our fairs feature a curated selection of both faith-based and wholesome, secular books, carefully chosen to align with the values of the communities we serve. </p><p id="""">‍</p>",FAQs Literature Logistics,,Public
Can I see the list of books that is sent to the Ignatius Book Fairs? ,can-i-see-the-list-of-books-that-is-sent-to-the-ignatius-book-fairs-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70136,false,false,Sat May 24 2025 19:44:32 GMT+0000 (Coordinated Universal Time),Sat Sep 27 2025 16:43:49 GMT+0000 (Coordinated Universal Time),Sat Sep 27 2025 18:18:12 GMT+0000 (Coordinated Universal Time),"<p id="""">Our full book fair list is proprietary, but we’re happy to share a customized preview with schools and organizations after learning more about your goals and needs. In the meantime, you're welcome to browse our <a href=""https://word-edit.officeapps.live.com/we/wordeditorframe.aspx?ui=en-US&rs=en-US&wopisrc=https%3A%2F%2Fmyavemaria-my.sharepoint.com%2Fpersonal%2Fkimberly_neumaier_avemaria_edu%2F_vti_bin%2Fwopi.ashx%2Ffiles%2Fbd0bdb68ed7f4626ab5336318f654318&wdenableroaming=1&mscc=1&wdodb=1&hid=8E09CB1E-2AE6-4AFE-B426-FAC69B77E301.0&uih=sharepointcom&wdlcid=en-US&jsapi=1&jsapiver=v2&corrid=d1f50081-7ce2-2e86-814b-25563d819fa5&usid=d1f50081-7ce2-2e86-814b-25563d819fa5&newsession=1&sftc=1&uihit=docaspx&muv=1&ats=PairwiseBroker&cac=1&sams=1&mtf=1&sfp=1&sdp=1&hch=1&hwfh=1&dchat=1&sc=%7B%22pmo%22%3A%22https%3A%2F%2Fmyavemaria-my.sharepoint.com%22%2C%22pmshare%22%3Atrue%7D&ctp=LeastProtected&rct=Normal&wdorigin=Sharing.ServerTransfer&afdflight=63&csiro=1&instantedit=1&wopicomplete=1&wdredirectionreason=Unified_SingleFlush"" target=""_blank"" id="""">online store</a> to get a sense of our high-quality, mission-aligned titles. </p><p id="""">Our fairs feature a curated selection of both faith-based and wholesome, secular books, carefully chosen to align with the values of the communities we serve. </p>",FAQs Literature Logistics,,Catholic
Can we shop for additional books from your website at an in-person book fair?,can-we-shop-for-additional-books-from-your-website-at-an-in-person-book-fair,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70101,false,false,Thu Feb 29 2024 00:41:49 GMT+0000 (Coordinated Universal Time),Mon Oct 06 2025 18:32:00 GMT+0000 (Coordinated Universal Time),Tue Oct 21 2025 22:01:03 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, our website offers an extensive collection of hundreds of more books, with new additions being made regularly. &nbsp;All these books are conveniently available with free shipping to your school during our book fairs. And your school earns Ave dollars for all online purchases.</p>",FAQs Literature Logistics,,Public
Can we shop for additional books from your website at an in-person book fair?,can-we-shop-for-additional-books-from-your-website-at-an-in-person-book-fair-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70138,false,false,Sat May 24 2025 19:56:57 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 12:57:16 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 13:08:36 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, our website offers an extensive collection of hundreds of more books, with new additions being made regularly. &nbsp;All these books are conveniently available with free shipping to your school during our book fairs. And your school earns Ave dollars for all online purchases.</p>",FAQs Literature Logistics,,Catholic
Do the Ignatius Book Fairs offer any rewards for schools?,do-the-ignatius-book-fairs-offer-any-rewards-for-schools,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70102,false,false,Thu Feb 29 2024 00:44:32 GMT+0000 (Coordinated Universal Time),Wed Mar 12 2025 00:52:02 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p>The Ignatius Book Fairs offer 20% in Ave Dollars or 10% cash back on the total of your sales (excluding tax). For book fairs that sell $6,000 or more, we will increase this offer to 40% in Ave Dollars or 20% cash back.</p>",FAQs Reader Rewards,,Public
Do you have a mascot?,do-you-have-a-mascot,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70098,false,false,Thu Feb 29 2024 00:31:46 GMT+0000 (Coordinated Universal Time),Wed Mar 12 2025 00:56:13 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p>We are thrilled to unveil our new mascot, Loupio, the beloved protagonist of the widely acclaimed comic book series <em id="""">The Adventures of Loupio</em>! Keep an eye out for Loupio as he makes his appearance on our website, social media platforms, and during our exciting book fairs.</p>",FAQs Turning the Page,,Public
Do you have a mascot?,do-you-have-a-mascot-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a7013b,false,true,Sat May 24 2025 20:20:41 GMT+0000 (Coordinated Universal Time),Sat Sep 27 2025 16:20:45 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes! Our official mascot is <strong id="""">Loupio</strong>, the beloved protagonist of the widely acclaimed comic book series <em id="""">The Adventures of Loupio</em>. You’ll see him featured throughout our website, on social media, and even making appearances during our book fairs—bringing joy, energy, and a love of reading to students and families.</p>",FAQs Turning the Page,,Catholic
Do you have a minimum book fair sales requirement?,do-you-have-a-minimum-book-fair-sales-requirement,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700e4,false,false,Thu Feb 29 2024 00:35:41 GMT+0000 (Coordinated Universal Time),Sat May 24 2025 20:32:56 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p>We do not have a set minimum for book fair sales, as we carefully select schools and parishes that are the perfect fit for an engaging in-person book fair.</p>",FAQs Flow of the Fair,,Catholic
Do you have a minimum book fair sales requirement?,do-you-have-a-minimum-book-fair-sales-requirement-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a7012d,false,false,Sat Feb 15 2025 21:13:59 GMT+0000 (Coordinated Universal Time),Tue Apr 08 2025 01:33:28 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">We do not have a set minimum for book fair sales, as we carefully select schools that are the perfect fit for an engaging in-person book fair.</p>",FAQs Flow of the Fair,,Public
Do you have my dates available?,do-you-have-my-dates-available,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700af,false,false,Thu Feb 29 2024 00:34:26 GMT+0000 (Coordinated Universal Time),Wed Mar 12 2025 00:55:46 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p>The best way to secure your ideal book fair dates is to reach out as soon as possible. We cannot hold dates until you receive a contract, so booking early and signing the contract within three business days of receiving it is the best way to secure your dates. </p><p>‍</p>",FAQs Flow of the Fair,,Public
Do you have my dates available?,do-you-have-my-dates-available-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a7013e,false,false,Sat May 24 2025 20:29:33 GMT+0000 (Coordinated Universal Time),Sat May 24 2025 20:29:33 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p>The best way to secure your ideal book fair dates is to reach out as soon as possible. We cannot hold dates until you receive a contract, so booking early and signing the contract within three business days of receiving it is the best way to secure your dates. </p><p>‍</p>",FAQs Flow of the Fair,,Catholic
Do you offer seasonal titles?,do-you-offer-seasonal-titles,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700ff,false,false,Thu Feb 29 2024 00:40:56 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 12:50:01 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 13:08:36 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, fall book fairs include titles for Advent and Christmas, while spring fairs feature books for Easter, First Holy Communion, and Confirmation.</p>",FAQs Literature Logistics,,Catholic
Do you offer seasonal titles?,do-you-offer-seasonal-titles-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70129,false,false,Sat Feb 15 2025 20:59:37 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 12:51:44 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 13:08:36 GMT+0000 (Coordinated Universal Time),"<p id="""">We offer age-appropriate seasonal books —perfect for the holiday seasons. </p>",FAQs Literature Logistics,,Public
Do you send only Christian books?,do-you-send-only-christian-books,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700fc,false,false,Thu Feb 29 2024 00:39:59 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 12:45:24 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 13:08:36 GMT+0000 (Coordinated Universal Time),"<p>No, about 70% of the books we send are wholesome, nonreligious books, such as fiction, inspiring biographies, fairytales, and classic children’s books. We also include books about sports, history, arts and crafts, and more. All these books have been fully vetted to ensure that the content is safe for children and will nourish their imaginations. We believe that children deserve to read great books! </p><p id="""">For our public charter schools, we curate a fully nonreligious collection while maintaining the same standard of high-quality, meaningful literature. &nbsp;Our goal is to offer students great books that spark curiosity, inspire imagination, and support strong character. </p><p>‍</p>",FAQs Literature Logistics,,Catholic
Find a Book Fair Near You!,find-a-book-fair-near-you,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a7010f,false,false,Thu Feb 29 2024 00:51:44 GMT+0000 (Coordinated Universal Time),Wed Mar 12 2025 00:49:31 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Want to host or attend an Ignatius Book Fair? Visit<a href=""https://www.ignatiusbookfairs.com"" target=""_blank"" id=""""> <em id="""">ignatiusbookfairs.com</em></a> to fill out an inquiry form today! &nbsp;</p><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:1537px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""1537px""><div id=""""><img src=""https://cdn.prod.website-files.com/6855646740138c5ee8a70034/6855646740138c5ee8a703a4_Frame%202%20(6).png"" loading=""lazy"" alt=""__wf_reserved_inherit"" width=""auto"" height=""auto"" id=""""></div></figure>",Home,1,Public
How are book fair materials shipped and returned?,how-will-books-and-materials-arrive,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700f9,false,false,Thu Feb 29 2024 00:36:35 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 12:43:22 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 13:08:36 GMT+0000 (Coordinated Universal Time),"<p id="""">All book fair materials are shipped directly to your location from our state-of-the-art warehouse in Illinois. Once your fair is complete, simply repack any remaining merchandise using the same boxes and packing materials they arrived in. Keep the posters, tablecloths, flyers and bookmarks. Let us know how many boxes you're returning, and we'll schedule a pickup for you. It's a smooth, hassle-free process—so you can focus on celebrating a successful fair!</p>",FAQs Flow of the Fair,,Public
How are book fair materials shipped and returned?,how-will-books-and-materials-arrive-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70140,false,false,Sat May 24 2025 20:35:37 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 12:43:36 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 13:08:36 GMT+0000 (Coordinated Universal Time),"<p id="""">All book fair materials are shipped directly to your location from our state-of-the-art warehouse in Illinois. Once your fair is complete, simply repack any remaining merchandise using the same boxes and packing materials they arrived in. Keep the posters, tablecloths, flyers and bookmarks. Let us know how many boxes you're returning, and we'll schedule a pickup for you. It's a smooth, hassle-free process—so you can focus on celebrating a successful fair!</p><p id="""">‍</p>",FAQs Flow of the Fair,,Catholic
How do we handle processing payments?,how-do-we-handle-processing-payments,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700fa,false,false,Thu Feb 29 2024 00:36:56 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 12:38:04 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 13:08:36 GMT+0000 (Coordinated Universal Time),"<p id="""">Customers can conveniently pay using their preferred method—card, cash, or check. To ensure a seamless experience, we’ll provide you with high-quality point-of-sale devices along with comprehensive training to help you use them with ease.</p>",FAQs Flow of the Fair,,Catholic
How do we handle processing payments?,how-do-we-handle-processing-payments-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a7013c,false,false,Sat May 24 2025 20:26:02 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 12:37:55 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 13:08:36 GMT+0000 (Coordinated Universal Time),"<p id="""">Customers can conveniently pay using their preferred method—card, cash, or check. To ensure a seamless experience, we’ll provide you with high-quality point-of-sale devices along with comprehensive training to help you use them with ease.</p>",FAQs Flow of the Fair,,Public
How do you redeem your Ave Dollars balance?,how-do-you-redeem-your-ave-dollars-balance,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70104,false,false,Thu Feb 29 2024 00:45:07 GMT+0000 (Coordinated Universal Time),Wed Mar 12 2025 00:51:31 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Any Ave Dollars balance can be redeemed on the website.</p>",FAQs Reader Rewards,,Public
How does the e-Wallet work?,how-does-the-ave-wallet-work,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70106,false,false,Thu Feb 29 2024 00:45:47 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 12:57:54 GMT+0000 (Coordinated Universal Time),Sun Sep 21 2025 13:08:36 GMT+0000 (Coordinated Universal Time),"<p id="""">When this feature is available, all you have to do is find your school’s book fair to sign up and add funds. Then just share the link with friends and family, who can do the same. The remaining balance after the fair will become a gift card to shop online with Ignatius Book Fairs.</p>",FAQs Reader Rewards,,
How long should my fair run?,how-long-should-my-fair-run,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700f8,false,false,Thu Feb 29 2024 00:36:15 GMT+0000 (Coordinated Universal Time),Sat May 24 2025 20:34:12 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Based on the size and setup of your school or parish, we suggest a duration of five to seven days for your book fair. Our experienced Book Fair Pros will assist you in determining the optimal length of time for your event.</p>",FAQs Flow of the Fair,,Catholic
How long should my fair run?,how-long-should-my-fair-run-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a7012a,false,false,Sat Feb 15 2025 21:04:06 GMT+0000 (Coordinated Universal Time),Tue Apr 08 2025 01:33:48 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Based on the size and setup of your school, we suggest a duration of five to seven days for your book fair. Our experienced Book Fair Pros will assist you in determining the optimal length of time for your event.</p>",FAQs Flow of the Fair,,Public
How many books do you send to a book fair?,how-many-books-do-you-send-to-a-book-fair,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700fb,false,false,Thu Feb 29 2024 00:39:40 GMT+0000 (Coordinated Universal Time),Sat May 24 2025 19:39:07 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">The number of titles your fair receives will be based on a number of factors such as school size, previous sales, and your preferences. Our book fair pros will help you with this. All organizations will &nbsp;be given the opportunity to make adjustments during our customization process, which happens approximately 60-90 days before your fair begins.</p>",FAQs Literature Logistics,,Catholic
How many books do you send to a book fair?,how-many-books-do-you-send-to-a-book-fair-2,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a7012b,false,false,Sat Feb 15 2025 21:07:03 GMT+0000 (Coordinated Universal Time),Sat May 24 2025 19:38:53 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">The number of titles your fair receives will be based on a number of factors such as school size, previous sales, and your preferences. Our book fair pros will help you with this. All organizations will &nbsp;be given the opportunity to make adjustments during our customization process, which happens approximately 60-90 days before your fair begins.</p>",FAQs Literature Logistics,,Public
How much does a virtual book fair cost?,how-much-does-a-virtual-book-fair-cost,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70121,false,false,Wed Aug 07 2024 02:36:44 GMT+0000 (Coordinated Universal Time),Fri Jun 06 2025 01:04:25 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">We offer different options to suit your needs. If you have never hosted a book fair with Ignatius, we have 2 different boxes of books that you can order during the sign-up process so that you have a wonderful selection of our best sellers in order to use as display items and for advertising. &nbsp;The cost of the box you choose is $175 and the books you receive are valued at $300. Payment must be received within 15 days of signing the contract. For those who have hosted a fair with Ignatius Book Fairs before, we also offer an option without a starter box of books.</p><p id="""">‍</p>",FAQs Flow of the Fair,6,Public
How much does a virtual book fair cost?,how-much-does-a-virtual-book-fair-costc,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70134,false,false,Sat May 24 2025 19:14:48 GMT+0000 (Coordinated Universal Time),Fri Jun 06 2025 01:04:13 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">We offer different options to suit your needs. If you have never hosted a book fair with Ignatius, we have 2 different boxes of books that you can order during the sign-up process so that you have a wonderful selection of our best sellers in order to use as display items and for advertising. You can choose either Catholic/religious book selections, or a mix of secular and religious books. The cost of the box you choose is $175 and the books you receive are valued at $300. Payment must be received within 15 days of signing the contract. For those who have hosted a fair with Ignatius Book Fairs before, we also offer an option without a starter box of books.</p><p id="""">‍</p>",FAQs Flow of the Fair,6,Catholic
Is there a cost to hosting a book fair?,is-there-a-cost-to-hosting-a-book-fair,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a700e2,false,false,Thu Feb 29 2024 00:35:01 GMT+0000 (Coordinated Universal Time),Sat May 24 2025 18:47:06 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Hosting an Ignatius Book Fair comes at no cost to you outside of time and talent. We will provide you with a comprehensive package including all the books, payment devices, eye-catching advertising aids, beautifully designed marketing materials, sturdy book stands, and just about everything you will need to ensure the success of your book fair.<br><br>VIRTUAL&nbsp;FAIRS<br>We have various options for those interested in hosting a virtual fair. Your book fair professional will go over options. Some may have a small cost if you would like a box of starter books to display during the fair. These books will be yours to keep. </p><p id="""">‍</p>",FAQs Flow of the Fair,,Catholic
Is there a cost to hosting a book fair?,is-there-a-cost-to-hosting-a-book-fair-p,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70133,false,false,Sat May 24 2025 18:52:26 GMT+0000 (Coordinated Universal Time),Sat May 24 2025 18:54:51 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Hosting an Ignatius Book Fair comes at no cost to you outside of time and talent. We will provide you with a comprehensive package including all the books, payment devices, eye-catching advertising aids, beautifully designed marketing materials, sturdy book stands, and just about everything you will need to ensure the success of your book fair.<br><br>VIRTUAL&nbsp;FAIRS<br>We have various options for those interested in hosting a virtual fair. Your book fair professional will go over options. Some may have a small cost if you would like a box of starter books to display during the fair. These books will be yours to keep. </p><p id="""">‍</p>",FAQs Flow of the Fair,,Public
What ages does the book fair cater to?,what-ages-does-the-book-fair-cater-to,6855646740138c5ee8a70084,6855646740138c5ee8a70035,6855646740138c5ee8a70100,false,false,Thu Feb 29 2024 00:41:24 GMT+0000 (Coordinated Universal Time),Fri Jun 06 2025 01:02:50 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 12:31:39 GMT+0000 (Coordinated Universal Time),"<p id="""">The Ignatius Book Fair provides books for children in grades K-8, including picture books, comic books, early readers, elementary and middle school books. We do include one table of books for ""Older Teens 16+ and Adults"" so the whole family can pick up a book at our fairs! </p>",FAQs Literature Logistics,,Public
